repo_url,max_stars,repo_lang,CommitCommentEvent,CreateEvent,DeleteEvent,ForkEvent,GollumEvent,IssueCommentEvent,IssuesEvent,MemberEvent,PublicEvent,PullRequestEvent,PullRequestReviewCommentEvent,PushEvent,ReleaseEvent,TeamAddEvent,WatchEvent,commitcomment.log,create.log,delete.log,fork.log,gollum.log,issuecomment.log,issues.log,member.log,public.log,pullrequest.log,pullrequestreview.log,push.log,release.log,teamadd.log,watch.log,repo_lang 2,stars.log,size,size.log,coded_lang
https://github.com/addyosmani/psi,832,JavaScript,2,7,0,20,0,104,29,0,0,30,3,40,1,0,813,1.09861229,2.07944154,0,3.04452244,0,4.65396035,3.40119738,0,0,3.4339872,1.38629436,3.71357207,0.69314718,0,6.70196037,Software,6.72383244,750,6.6200732065,2
https://github.com/adobe-fonts/source-serif-pro,545,Shell,0,0,0,2,0,0,0,0,0,0,0,6,2,0,8,0,0,0,1.09861229,0,0,0,0,0,0,0,1.94591015,1.09861229,0,2.19722458,Software,6.30078579,3310,8.1047034684,2
https://github.com/adobe-research/theseus,960,JavaScript,0,7,1,30,1,130,35,0,0,18,17,24,0,0,471,0,2.07944154,0.69314718,3.4339872,0.69314718,4.87519732,3.58351894,0,0,2.94443898,2.89037176,3.21887582,0,0,6.15697899,Software,6.86693328,2404,7.7848892957,2
https://github.com/adobe-webplatform/balance-text,652,JavaScript,0,5,6,17,0,55,13,0,0,17,3,21,1,0,126,0,1.79175947,1.94591015,2.89037176,0,4.02535169,2.63905733,0,0,2.89037176,1.38629436,3.09104245,0.69314718,0,4.84418709,Software,6.48004456,1079,6.9837899653,2
https://github.com/adobe-webplatform/snap.svg,4761,JavaScript,4,3,1,442,7,421,294,0,1,81,3,81,0,0,4824,1.60943791,1.38629436,0.69314718,6.09356977,2.07944154,6.04500531,5.68697536,0,0.69314718,4.40671925,1.38629436,4.40671925,0,0,8.48156601,Software,8.46821301,4462,8.403352375,2
https://github.com/adobe/source-serif-pro,537,Shell,0,0,0,58,0,11,5,0,1,0,0,4,0,1,554,0,0,0,4.07753744,0,2.48490665,1.79175947,0,0.69314718,0,0,1.60943791,0,0.69314718,6.31896811,Software,6.28599809,3261,8.0897891758,2
https://github.com/adrian2112/uiimage-blurredframe,544,Objective-C,0,6,3,53,0,11,11,0,0,6,0,11,0,0,449,0,1.94591015,1.38629436,3.98898405,0,2.48490665,2.48490665,0,0,1.94591015,0,2.48490665,0,0,6.10924758,Software,6.29894925,618,6.4264884575,2
https://github.com/adriancooney/console.image,865,JavaScript,0,0,0,11,0,1,1,0,0,0,0,4,0,0,62,0,0,0,2.48490665,0,0.69314718,0.69314718,0,0,0,0,1.60943791,0,0,4.14313473,Software,6.76272951,249,5.5174528965,2
https://github.com/adriancooney/voyeur.js,766,JavaScript,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0.69314718,0,0,2.94443898,Software,6.64118217,533,6.2785214242,2
https://github.com/adtile/fixed-nav,617,JavaScript,0,0,0,95,0,18,10,0,1,3,0,6,0,0,614,0,0,0,4.56434819,0,2.94443898,2.39789527,0,0.69314718,1.38629436,0,1.94591015,0,0,6.42162227,Software,6.42486902,374,5.9242557974,2
https://github.com/afaqurk/linux-dash,5351,CSS,11,12,7,631,31,581,218,4,0,277,27,178,1,0,5508,2.48490665,2.56494936,2.07944154,6.44888939,3.4657359,6.36647045,5.38907173,1.60943791,0,5.62762111,3.33220451,5.18738581,0.69314718,0,8.6141384,Software,8.58503874,4985,8.5141886824,2
https://github.com/afollestad/cards-ui,894,Java,0,1,0,192,27,116,74,0,0,8,0,165,0,0,745,0,0.69314718,0,5.26269019,3.33220451,4.76217393,4.31748811,0,0,2.19722458,0,5.11198779,0,0,6.6147256,Software,6.79570578,10595,9.2681374707,2
https://github.com/afternoonrobot/photographer-io,653,Ruby,0,5,1,52,0,73,37,0,0,50,0,28,4,0,100,0,1.79175947,0.69314718,3.97029191,0,4.30406509,3.63758616,0,0,3.93182563,0,3.36729583,1.60943791,0,4.61512052,Software,6.48157713,8828,9.0856837674,2
https://github.com/agilebits/onepassword-app-extension,1067,Objective-C,5,38,33,69,0,226,78,0,1,89,6,100,8,0,1068,1.79175947,3.66356165,3.52636052,4.24849524,0,5.42495002,4.36944785,0,0.69314718,4.49980967,1.94591015,4.61512052,2.19722458,0,6.97447891,Software,6.97260625,2134,7.6657534319,2
https://github.com/aheinze/cockpit,967,PHP,1,39,11,127,15,408,240,0,0,69,0,506,0,0,1013,0.69314718,3.68887945,2.48490665,4.85203026,2.77258872,6.01371516,5.48479693,0,0,4.24849524,0,6.228511,0,0,6.92165818,Software,6.8741985,10439,9.2533040714,2
https://github.com/ai/autoprefixer,3491,JavaScript,88,20,9,119,0,1084,333,1,0,83,0,386,16,0,2574,4.48863637,3.04452244,2.30258509,4.78749174,0,6.98933527,5.81114099,0.69314718,0,4.4308168,0,5.95842469,2.83321334,0,7.85360481,Software,8.15794351,5324,8.5799801795,2
https://github.com/airbnb/chronos,1825,JavaScript,29,37,15,110,0,261,78,0,0,153,42,475,1,0,700,3.40119738,3.63758616,2.77258872,4.7095302,0,5.5683445,4.36944785,0,0,5.0369526,3.76120012,6.16541785,0.69314718,0,6.55250789,Software,7.50933527,17523,9.7712695827,2
